NAME,median_household_income,state,county,tract
Census Tract 173; Milwaukee County; Wisconsin,55478.0,55,079,017300
Census Tract 174; Milwaukee County; Wisconsin,54375.0,55,079,017400
Census Tract 175; Milwaukee County; Wisconsin,38846.0,55,079,017500
Census Tract 176; Milwaukee County; Wisconsin,40250.0,55,079,017600
Census Tract 179; Milwaukee County; Wisconsin,81199.0,55,079,017900
Census Tract 180; Milwaukee County; Wisconsin,86136.0,55,079,018000
Census Tract 181; Milwaukee County; Wisconsin,111406.0,55,079,018100
Census Tract 182; Milwaukee County; Wisconsin,112336.0,55,079,018200
Census Tract 183; Milwaukee County; Wisconsin,84097.0,55,079,018300
Census Tract 184; Milwaukee County; Wisconsin,100625.0,55,079,018400
Census Tract 185; Milwaukee County; Wisconsin,68162.0,55,079,018500
Census Tract 186; Milwaukee County; Wisconsin,60488.0,55,079,018600
Census Tract 187; Milwaukee County; Wisconsin,50202.0,55,079,018700
Census Tract 188; Milwaukee County; Wisconsin,48563.0,55,079,018800
Census Tract 189; Milwaukee County; Wisconsin,51250.0,55,079,018900
Census Tract 190; Milwaukee County; Wisconsin,58417.0,55,079,019000
Census Tract 191; Milwaukee County; Wisconsin,64489.0,55,079,019100
Census Tract 192; Milwaukee County; Wisconsin,61520.0,55,079,019200
Census Tract 193; Milwaukee County; Wisconsin,77305.0,55,079,019300
Census Tract 194; Milwaukee County; Wisconsin,66346.0,55,079,019400
Census Tract 195; Milwaukee County; Wisconsin,76857.0,55,079,019500
Census Tract 196; Milwaukee County; Wisconsin,69783.0,55,079,019600
Census Tract 197; Milwaukee County; Wisconsin,75278.0,55,079,019700
Census Tract 198; Milwaukee County; Wisconsin,60236.0,55,079,019800
Census Tract 199; Milwaukee County; Wisconsin,80985.0,55,079,019900
Census Tract 200; Milwaukee County; Wisconsin,51946.0,55,079,020000
Census Tract 201; Milwaukee County; Wisconsin,44271.0,55,079,020100
Census Tract 202; Milwaukee County; Wisconsin,58026.0,55,079,020200
Census Tract 203; Milwaukee County; Wisconsin,75745.0,55,079,020300
Census Tract 204; Milwaukee County; Wisconsin,71068.0,55,079,020400
