NAME,total_population,hispanic_or_latino_population,non_hispanic_white_population,percent_non_hispanic_white,state,county,tract
Census Tract 93; Milwaukee County; Wisconsin,2634.0,16.0,47.0,1.8,55,079,009300
Census Tract 94; Milwaukee County; Wisconsin,2481.0,8.0,97.0,3.9,55,079,009400
Census Tract 95; Milwaukee County; Wisconsin,1944.0,0.0,21.0,1.1,55,079,009500
Census Tract 96; Milwaukee County; Wisconsin,1621.0,0.0,0.0,0.0,55,079,009600
Census Tract 97; Milwaukee County; Wisconsin,1235.0,5.0,2.0,0.2,55,079,009700
Census Tract 98; Milwaukee County; Wisconsin,1486.0,0.0,25.0,1.7,55,079,009800
Census Tract 99; Milwaukee County; Wisconsin,1019.0,0.0,0.0,0.0,55,079,009900
Census Tract 106; Milwaukee County; Wisconsin,845.0,3.0,61.0,7.2,55,079,010600
Census Tract 107; Milwaukee County; Wisconsin,2089.0,72.0,104.0,5.0,55,079,010700
Census Tract 108; Milwaukee County; Wisconsin,2304.0,54.0,27.0,1.2,55,079,010800
Census Tract 110; Milwaukee County; Wisconsin,3502.0,13.0,125.0,3.6,55,079,011000
Census Tract 111; Milwaukee County; Wisconsin,1479.0,0.0,118.0,8.0,55,079,011100
Census Tract 112; Milwaukee County; Wisconsin,2460.0,17.0,39.0,1.6,55,079,011200
Census Tract 113; Milwaukee County; Wisconsin,2691.0,13.0,137.0,5.1,55,079,011300
Census Tract 114; Milwaukee County; Wisconsin,1541.0,13.0,5.0,0.3,55,079,011400
Census Tract 122; Milwaukee County; Wisconsin,1889.0,0.0,0.0,0.0,55,079,012200
Census Tract 123; Milwaukee County; Wisconsin,895.0,0.0,72.0,8.0,55,079,012300
Census Tract 124; Milwaukee County; Wisconsin,2527.0,27.0,142.0,5.6,55,079,012400
Census Tract 125; Milwaukee County; Wisconsin,1876.0,44.0,108.0,5.8,55,079,012500
Census Tract 126; Milwaukee County; Wisconsin,2134.0,0.0,83.0,3.9,55,079,012600
Census Tract 127; Milwaukee County; Wisconsin,1165.0,0.0,60.0,5.2,55,079,012700
